,href,href_2,html_image,brand,color_label,Sugars,SPF_Sugar_Pct,Protein,SPF_Protein_Pct,Total Fat,SPF_TotalFat_Pct
43,<a href=https://www.wholefoodsmarket.com/product/chobani-0-greek-yogurt-with-black-cherry-on-the-bottom-53-oz-b008u5oq0m>Chobani 0% Greek Yogurt with Black Cherry on the Bottom</a>,<a href=https://www.wholefoodsmarket.com/product/chobani-0-greek-yogurt-with-black-cherry-on-the-bottom-53-oz-b008u5oq0m>0% Greek Yogurt with Black Cherry on the Bottom</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f8e29c5dcf2cc7322dc3b85_894700010168-front.jpg' width='100%'>,Chobani,magenta,15.0,57.692307692307686,11.0,42.30769230769231,0.0,0.0
44,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-french-vanilla-whole-milk-yogurt-2-lb-b00108hzfy>Stonyfield Organic Organic French Vanilla Whole Milk Yogurt (2 Lb)</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-french-vanilla-whole-milk-yogurt-2-lb-b00108hzfy>Organic French Vanilla Whole Milk Yogurt (2 Lb)</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f41b1d75639966d5b72c2b2_00052159000028-glamor-frontpackageglamor-2020-08-05t15-05-29-iphone-x-quality-90-1-21-1-user-5984ad42a967f880524de2c4-y0dm-988815.jpg' width='100%'>,Stonyfield Organic,magenta,17.0,60.71428571428571,5.0,17.857142857142858,6.0,21.428571428571427
45,"<a href=https://www.wholefoodsmarket.com/product/straus-family-creamery-whole-milk-yogurt-plain-32-oz-b000o6gaue>Straus Family Creamery Whole Milk Yogurt, Plain</a>","<a href=https://www.wholefoodsmarket.com/product/straus-family-creamery-whole-milk-yogurt-plain-32-oz-b000o6gaue>Whole Milk Yogurt, Plain</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f98372505662c7accd83908_784830000804-front.jpg' width='100%'>,Straus Family Creamery,magenta,8.0,36.36363636363637,8.0,36.36363636363637,6.0,27.27272727272727
46,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-yogurt-whole-milk-vanilla-32-oz-b07dwfvnzb>365 by Whole Foods Market Organic Yogurt Whole Milk - Vanilla</a>,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-yogurt-whole-milk-vanilla-32-oz-b07dwfvnzb>Organic Yogurt Whole Milk - Vanilla</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/62eb2ee379c0186618a1a1b4_0099482472085-glamor-front-2022-04-06t15-45-59-iphone-x-quality-90-1-29-0-user-5d7652c1db2c4b51d4c666ca-ergh-503304.jpg' width='100%'>,365 by Whole Foods Market,magenta,17.0,60.71428571428571,6.0,21.428571428571427,5.0,17.857142857142858
47,<a href=https://www.wholefoodsmarket.com/product/fage-total-2-honey-greek-yogurt-53-oz-b0012zgi26>FAGE Total 2% Honey Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/fage-total-2-honey-greek-yogurt-53-oz-b0012zgi26>Total 2% Honey Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/63e5a89e425a7866289abe5b_0689544081302-glamor-front-2023-01-27t14-25-21-iphone-7-quality-90-1-33-0-user-61f81fa9ba341c6ee137962b-caee-632446.jpg' width='100%'>,FAGE,magenta,28.0,65.88235294117646,12.0,28.235294117647058,2.5,5.88235294117647
48,<a href=https://www.wholefoodsmarket.com/product/siggis-4-vanilla-skyr-yogurt-44-oz-b011yjq4b4>siggi's 4% Vanilla Skyr Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/siggis-4-vanilla-skyr-yogurt-44-oz-b011yjq4b4>4% Vanilla Skyr Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/613f89f8e11bfde36015f58f_dld-0898248001572-glamor-front-2021-08-19t15-02-39-iphone-x-quality-90-1-25-4-user-5984ad42a967f880524de2c4-pn81-318666-1631554039759.jpg' width='100%'>,siggi's,cyan,8.0,32.6530612244898,12.0,48.97959183673469,4.5,18.367346938775512
49,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-whole-milk-yogurt-touch-of-honey-24-oz-b07811xcgj>siggi's siggi’s® Icelandic Skyr Whole Milk Yogurt, Touch of Honey</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-whole-milk-yogurt-touch-of-honey-24-oz-b07811xcgj>siggi’s® Icelandic Skyr Whole Milk Yogurt, Touch of Honey</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/621439e0f6ea6d3941e7f512_0898248001770-glamor-front-2022-01-31t13-53-06-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-4y2k-875993.jpg' width='100%'>,siggi's,cyan,12.0,34.285714285714285,17.0,48.57142857142857,6.0,17.142857142857142
50,"<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-kids-strawberry-banana-lowfat-yogurt-tubes-2-oz-each-8-ct-b072ztr9pl>Stonyfield Organic Kids Strawberry Banana Lowfat Yogurt Tubes, 2 oz. Each</a>","<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-kids-strawberry-banana-lowfat-yogurt-tubes-2-oz-each-8-ct-b072ztr9pl>Kids Strawberry Banana Lowfat Yogurt Tubes, 2 oz. Each</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6455338817e373956a7413a1_2023-05-05_16-49-22_front.main.jpg' width='100%'>,Stonyfield Organic,magenta,5.0,55.55555555555556,2.0,22.22222222222222,2.0,22.22222222222222
51,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-whole-milk-strawberry-beet-berry-yogurt-pouch-35-oz-b00myuqb52>Stonyfield Organic Organic Whole Milk Strawberry Beet Berry Yogurt Pouch</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-whole-milk-strawberry-beet-berry-yogurt-pouch-35-oz-b00myuqb52>Organic Whole Milk Strawberry Beet Berry Yogurt Pouch</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6424b54f90c2113d58cea3d0_2023-03-29_22-02-35_front.main.jpg' width='100%'>,Stonyfield Organic,magenta,9.0,51.42857142857142,5.0,28.57142857142857,3.5,20.0
52,<a href=https://www.wholefoodsmarket.com/product/chobani-less-sugar-madagascar-vanilla-cinnamon-greek-yogurt-53-oz-b07cn8y436>Chobani Less Sugar Madagascar Vanilla & Cinnamon Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/chobani-less-sugar-madagascar-vanilla-cinnamon-greek-yogurt-53-oz-b07cn8y436>Less Sugar Madagascar Vanilla & Cinnamon Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/624b76e627ac6613630ffaf7_dld-0818290011473-glamor-front-2022-03-04t22-02-07-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-erkv-443745-1649112805806.jpg' width='100%'>,Chobani,cyan,9.0,37.5,12.0,50.0,3.0,12.5
53,<a href=https://www.wholefoodsmarket.com/product/fage-total-2-black-cherry-greek-yogurt-53-oz-b0012zi8a6>FAGE Total 2% Black Cherry Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/fage-total-2-black-cherry-greek-yogurt-53-oz-b0012zi8a6>Total 2% Black Cherry Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/624b76db27ac6613630ffabd_dld-0689544081562-glamor-front-2022-03-04t21-43-53-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-cbsu-422747-1649112792899.jpg' width='100%'>,FAGE,cyan,11.0,43.13725490196079,12.0,47.05882352941176,2.5,9.803921568627452
54,<a href=https://www.wholefoodsmarket.com/product/chobani-0-greek-yogurt-with-blueberry-on-the-bottom-53-oz-b002gvjzs4>Chobani 0% Greek Yogurt with Blueberry on the Bottom</a>,<a href=https://www.wholefoodsmarket.com/product/chobani-0-greek-yogurt-with-blueberry-on-the-bottom-53-oz-b002gvjzs4>0% Greek Yogurt with Blueberry on the Bottom</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f8e29c4dcf2cc7322dc3b7c_894700010052-front.jpg' width='100%'>,Chobani,magenta,14.0,56.00000000000001,11.0,44.0,0.0,0.0
